event_key,key,label,distance_km,elevation_gain_m,order,verified,verified_at,source
utmb-arc-of-attrition,100m,Arc 100M,173,5507,1,yes,2026-08-05,https://arcofattrition.utmb.world/
utmb-arc-of-attrition,100k,Arc 100K,82.7,2708,2,yes,2026-08-05,https://arcofattrition.utmb.world/
utmb-arc-of-attrition,50k,Arc 50K,49.4,1458,3,yes,2026-08-05,https://arcofattrition.utmb.world/
utmb-arc-of-attrition,20k,Arc 20K,22.1,744,4,yes,2026-08-05,https://arcofattrition.utmb.world/
utmb-chianti,utcc,Ultra Trail Chianti Castles,123,5200,1,yes,2026-08-05,https://chianti.utmb.world/
utmb-chianti,ultra,Chianti Ultra Trail,73,3000,2,yes,2026-08-05,https://chianti.utmb.world/
utmb-chianti,marathon,Chianti Marathon Trail,46,1650,3,yes,2026-08-05,https://chianti.utmb.world/
utmb-chianti,half,Chianti Half Trail,20,920,4,yes,2026-08-05,https://chianti.utmb.world/
utmb-chianti,wine-run,Chianti Wine Run,10,400,5,yes,2026-08-05,https://chianti.utmb.world/
utmb-tenerife,110k,Tenerife Bluetrail 110K,110,6250,1,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,82k,Tenerife Bluetrail 82K,82,3300,2,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,68k,Tenerife Bluetrail 68K,68,3600,3,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,47k,Tenerife Bluetrail 47K,47,2600,4,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,47k-relay,Tenerife Bluetrail 47K Relay,47,2600,5,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,24k,Tenerife Bluetrail 24K,24,1300,6,yes,2026-08-05,https://tenerife.utmb.world/
utmb-tenerife,vnc,Vertical Night Challenge,6.5,850,7,yes,2026-08-05,https://tenerife.utmb.world/
utmb-istria,168k,Istria 168K,168,6800,1,yes,2026-08-05,https://istria.utmb.world/
utmb-istria,110k,Istria 110K,111,4200,2,yes,2026-08-05,https://istria.utmb.world/
utmb-istria,69k,Istria 69K,69.6,2400,3,yes,2026-08-05,https://istria.utmb.world/
utmb-istria,42k,Istria 42K,42,1000,4,yes,2026-08-05,https://istria.utmb.world/
utmb-istria,21k,Istria 21K,21.5,157,5,yes,2026-08-05,https://istria.utmb.world/
utmb-ventoux,ugp,Ultra Géant de Provence,125,5700,1,yes,2026-08-05,https://ventoux.utmb.world/
utmb-ventoux,gev,Grande Epopée Ventoux,87,4200,2,yes,2026-08-05,https://ventoux.utmb.world/
utmb-ventoux,mmt,Mistral Marathon Trail,51,2500,3,yes,2026-08-05,https://ventoux.utmb.world/
utmb-ventoux,tdc,Trail des Coteaux,26,1100,4,yes,2026-08-05,https://ventoux.utmb.world/
utmb-oh-my-deus,100m,Oh Meu Deus 100M,167,8900,1,yes,2026-08-05,https://ohmeudeus.utmb.world/
utmb-oh-my-deus,100k,Oh Meu Deus 100K,94,5300,2,yes,2026-08-05,https://ohmeudeus.utmb.world/
utmb-oh-my-deus,50k,Oh Meu Deus 50K,52,2900,3,yes,2026-08-05,https://ohmeudeus.utmb.world/
utmb-oh-my-deus,20k,Oh Meu Deus 20K,22,1000,4,yes,2026-08-05,https://ohmeudeus.utmb.world/
utmb-alsace,utdc,Ultra-Trail des Chevaliers,158,5100,1,yes,2026-08-05,https://alsace.utmb.world/
utmb-alsace,utdp,Ultra-Trail des Païens,108,3900,2,yes,2026-08-05,https://alsace.utmb.world/
utmb-alsace,tdc,Trail des Celtes,47,1600,3,yes,2026-08-05,https://alsace.utmb.world/
utmb-alsace,tdp,Trail des Pèlerins,29,800,4,yes,2026-08-05,https://alsace.utmb.world/
utmb-alsace,rdp,Ronde des Pages,18,250,5,yes,2026-08-05,https://alsace.utmb.world/
utmb-alsace,tde,Trail des Ecuyers,10.5,400,6,yes,2026-08-05,https://alsace.utmb.world/
utmb-snowdonia,100m,Eryri 100M,163,9200,1,yes,2026-08-05,https://eryri.utmb.world/
utmb-snowdonia,100k,Eryri 100K,106,5400,2,yes,2026-08-05,https://eryri.utmb.world/
utmb-snowdonia,80k,Eryri 80K,78,2500,3,yes,2026-08-05,https://eryri.utmb.world/
utmb-snowdonia,50k,Eryri 50K,56,3400,4,yes,2026-08-05,https://eryri.utmb.world/
utmb-snowdonia,25k,Eryri 25K,22,1100,5,yes,2026-08-05,https://eryri.utmb.world/
utmb-mozart,100,mozart 100,119,6000,1,yes,2026-08-05,https://mozart.utmb.world/
utmb-mozart,ultra,mozart Ultra,84,4800,2,yes,2026-08-05,https://mozart.utmb.world/
utmb-mozart,ultra-relay,mozart Ultra Relay,84,4800,3,yes,2026-08-05,https://mozart.utmb.world/
utmb-mozart,marathon,mozart Marathon,44,1600,4,yes,2026-08-05,https://mozart.utmb.world/
utmb-mozart,half,mozart Half Marathon,28,1100,5,yes,2026-08-05,https://mozart.utmb.world/
utmb-mozart,lake,mozart Lake Trail,12,200,6,yes,2026-08-05,https://mozart.utmb.world/
utmb-andorra,105k,Ultra 105K,105,6800,1,yes,2026-08-05,https://andorra.utmb.world/
utmb-andorra,80k,Trail 80K,79,3900,2,yes,2026-08-05,https://andorra.utmb.world/
utmb-andorra,50k,Trail 50K,50,3400,3,yes,2026-08-05,https://andorra.utmb.world/
utmb-andorra,21k,Trail 21K,24.9,1350,4,yes,2026-08-05,https://andorra.utmb.world/
utmb-andorra,10k,Trail 10K,10,500,5,yes,2026-08-05,https://andorra.utmb.world/
utmb-saint-jacques,100m,Ultra du Saint Jacques 100M,140,6000,1,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-saint-jacques,100k,Grand Trail du Saint Jacques 100K,88,3600,2,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-saint-jacques,50k,Monistrail 50K,55,2100,3,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-saint-jacques,20k,Les Chibottes 20K,28,750,4,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-saint-jacques,12k,Le 12 du Dolaizon,12,200,5,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-zugspitz,zut100,ZUT100,107,5280,1,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,ultratrail,Ultratrail,74,3000,2,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,ehrwald,Ehrwald Trail,74,3000,3,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,leutasch,Leutasch Trail,69,3140,4,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,mittenwald,Mittenwald Trail,44,2110,5,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,gapa,Garmisch-Partenkirchen Trail,29,1565,6,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-zugspitz,grainau,Grainau Trail,16,760,7,yes,2026-08-05,https://zugspitz.utmb.world/
utmb-lavaredo,120k,Lavaredo 120K,120,5800,1,yes,2026-08-05,https://lavaredo.utmb.world/
utmb-lavaredo,80k,Lavaredo 80K,80,4600,2,yes,2026-08-05,https://lavaredo.utmb.world/
utmb-lavaredo,50k,Lavaredo 50K,50,2600,3,yes,2026-08-05,https://lavaredo.utmb.world/
utmb-lavaredo,20k,Lavaredo 20K,20,1000,4,yes,2026-08-05,https://lavaredo.utmb.world/
utmb-lavaredo,10k,Lavaredo 10K,10,300,5,yes,2026-08-05,https://lavaredo.utmb.world/
utmb-val-daran,vda,Torn dera Val d'Aran,163,10000,1,yes,2026-08-05,https://valdaran.utmb.world/
