event_key,year,start_date,end_date,name_override,location,url,registration_opens_at,registration_closes_at,registration_url,registration_type,source_url,verified_at,notes
other-canadian-death-race,2026,2026-08-01,2026-08-02,,"Grande Cache, Alberta",https://www.sinistersports.ca/deathrace/,,,,first-come,https://www.sinistersports.ca/deathrace/,2026-08-06,
other-diagonale-des-fous,2026,2026-10-15,2026-10-18,,"Saint-Pierre, La Réunion",https://www.grandraid-reunion.com/,,,,first-come,https://la1ere.franceinfo.fr/reunion/grand-raid-2026-decouvrez-les-traces-des-cinq-courses-1682019.html,2026-08-01,第 34 屆；2026 年路線改經 Salazie，Diagonale 距離延長為 180K。
other-hardrock,2027,2027-07-09,,,"Silverton, Colorado",https://hardrock100.com/,2026-10-01,2026-10-14,,lottery,https://hardrock100.com/hardrock-lottery.php,2026-08-01,抽籤結果 2026-12-05 公布；需完成指定資格賽。
other-sierre-zinal,2026,2026-08-08,,,"Sierre → Zinal, Valais",https://www.sierre-zinal.com/,,,,first-come,https://www.sierre-zinal.com/en/sierre-zinal-2026-dates-2840.html,2026-08-01,
other-sinister-7,2026,2026-07-11,2026-07-12,,"Crowsnest Pass, Alberta",https://www.sinistersports.ca/sinister7/,,,,first-come,https://www.sinistersports.ca/sinister7/,2026-08-06,
other-squamish-50,2026,2026-08-15,2026-08-16,Squamish 50/50,"Squamish, British Columbia",https://squamish50.com/,,2026-03-01,https://raceroster.com/events/2026/111341/nesters-market-squamish-50,first-come,https://squamish50.com/registration/,2026-08-04,2026 各分項皆已額滿，官方明言不設候補、不接受轉讓。
other-ticino-wildlands,2026,2026-08-08,2026-08-18,Ticino Wildlands 500,Ticino,https://www.ticino500.ch/,,2026-03-01,https://join.endu.net/entry?edition=102363,first-come,https://www.ticino500.ch/,2026-08-04,"主賽事 500K，累積爬升 40,000 公尺，關門 250 小時。"
other-tor-des-geants,2026,2026-09-13,2026-09-19,,"Courmayeur, Valle d'Aosta",https://torxtrail.com/,,,,first-come,https://torxtrail.com/tor330-tor-des-geants/,2026-08-01,
utmb-lavaredo,2027,2027-06-25,2027-06-26,La Sportiva Lavaredo Ultra Trail,Cortina d'Ampezzo,https://lavaredo.utmb.world/,,,,first-come,https://ultraracecalendar.com/events/3923/lavaredo-ultra-trail-by-utmb/,2026-08-01,
utmb-mont-blanc,2026,2026-08-24,2026-08-30,HOKA UTMB Mont-Blanc,Chamonix,https://montblanc.utmb.world/,,2026-08-01,,lottery,https://www.ahotu.com/event/hoka-ultra-trail-du-mont-blanc,2026-08-01,賽事週；各分項起跑日不同。2026 年報名早已結束。
utmb-tarawera,2027,2027-02-13,2027-02-14,,Rotorua,https://tarawera.utmb.world/,,,https://tarawera.utmb.world/runners/entry-info,first-come,https://www.ahotu.com/event/tarawera-ultramarathon-by-utmb,2026-08-01,
utmb-western-states,2027,2027-06-26,,,"Olympic Valley → Auburn, California",https://www.wser.org/,2026-11-01,,,lottery,https://www.wser.org/lottery/,2026-08-01,賽事日期依「六月最後一個週六」慣例推算，尚待官方確認。抽籤報名 2026 年 11 月開放，抽籤日待公布。
utmb-whistler,2026,2026-08-22,2026-08-23,Ultra Trail Whistler by UTMB,"Whistler, British Columbia",https://whistler.utmb.world/,,2026-08-22,https://whistler.utmb.world/register,first-come,https://whistler.utmb.world/,2026-08-06,
wtm-cape-town,2026,2026-11-20,2026-11-22,,Cape Town,https://www.ultratrailcapetown.com/,,,https://www.ultratrailcapetown.com/enter,first-come,https://www.ahotu.com/event/ultra-trail-cape-town,2026-08-01,
wtm-hk100,2027,2027-01-23,,,"Sai Kung, New Territories",https://hk100ultra.com/,,,,lottery,https://ultraracecalendar.com/events/6165/hong-kong-100/,2026-08-01,報名採抽籤；2027 年抽籤日期待官方公布。
wtm-mt-fuji,2027,2027-04-23,2027-04-24,,Yamanashi / Shizuoka,https://en.mtfuji100.com/,,,,first-come,https://www.finishers.com/en/event/mt-fuji-100,2026-08-01,2027 年日期尚未經官方最終確認，請以官網公告為準。
wtm-quebec-mega-trail,2026,2026-07-03,2026-07-04,,"Charlevoix / Côte-de-Beaupré, Québec",https://ultratrailcanada.com/en/,,,,first-come,https://ultratrailcanada.com/en/,2026-08-06,
wtm-transgrancanaria,2027,2027-02-24,2027-02-28,,Gran Canaria,https://transgrancanaria.net/,2026-07-01,,,first-come,https://transgrancanaria.net/en/the-north-face-transgrancanaria-2027-opens-registrations-on-1-july/,2026-08-01,Classic 屬 World Trail Majors，Marathon 屬 Short Series。
