key,series,name,name_zh,country,website,itra_url,verified,verified_at,source
utmb-arc-of-attrition,utmb,Arc of Attrition,,GBR,https://arcofattrition.utmb.world/,,yes,,
utmb-chianti,utmb,Chianti Ultra Trail,,ITA,https://chianti.utmb.world/,,yes,,
utmb-tenerife,utmb,Tenerife Bluetrail,,ESP,https://tenerife.utmb.world/,,yes,,
utmb-istria,utmb,Istria 100,,HRV,https://istria.utmb.world/,,yes,,
utmb-ventoux,utmb,Trail du Ventoux,,FRA,https://ventoux.utmb.world/,,yes,,
utmb-oh-my-deus,utmb,Oh Meu Deus,,PRT,https://ohmeudeus.utmb.world/,,yes,2026-08-05,https://ohmeudeus.utmb.world/
utmb-alsace,utmb,Alsace Grand Est,,FRA,https://alsace.utmb.world/,,yes,2026-08-05,https://alsace.utmb.world/
utmb-snowdonia,utmb,Eryri by UTMB,,GBR,https://eryri.utmb.world/,,yes,2026-08-05,https://eryri.utmb.world/
utmb-mozart,utmb,Mozart 100,,AUT,https://mozart.utmb.world/,,yes,2026-08-05,https://mozart.utmb.world/
utmb-andorra,utmb,Andorra Trail 100,,AND,https://andorra.utmb.world/,,yes,2026-08-05,https://andorra.utmb.world/
utmb-saint-jacques,utmb,Saint-Jacques,,FRA,https://saint-jacques.utmb.world/,,yes,2026-08-05,https://saint-jacques.utmb.world/
utmb-zugspitz,utmb,Zugspitz Ultratrail,,DEU,https://zugspitz.utmb.world/,,yes,,
utmb-lavaredo,utmb,Lavaredo Ultra Trail,,ITA,https://lavaredo.utmb.world/,,yes,,
utmb-val-daran,utmb,Val d'Aran,,ESP,https://valdaran.utmb.world/,,yes,2026-08-05,https://valdaran.utmb.world/
utmb-restonica,utmb,Restonica Trail,,FRA,https://restonica.utmb.world/,,yes,2026-08-05,https://restonica.utmb.world/
utmb-verbier,utmb,Verbier Saint-Bernard,,CHE,https://verbier.utmb.world/,,yes,2026-08-05,https://verbier.utmb.world/
utmb-eiger,utmb,Eiger Ultra Trail,,CHE,https://eiger.utmb.world/,,yes,,
utmb-mrww,utmb,Monterosa Walserwaeg,,ITA,https://mrww.utmb.world/,,yes,2026-08-05,https://mrww.utmb.world/
utmb-bucovina,utmb,Bucovina Ultra Rocks,,ROU,https://bucovina.utmb.world/,,yes,2026-08-05,https://bucovina.utmb.world/
